,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
16,1578528000000,8036.44000000,8036.44000000,7860.44000000,7878.53000000,36.71093700,1578571199999,291905.73357419,514,19.51871900,155243.72529213,0
17,1578571200000,7880.40000000,7994.86000000,7753.44000000,7824.32000000,79.46040100,1578614399999,623750.49667834,854,49.32576400,387186.51202929,0
18,1578614400000,7813.16000000,7850.00000000,7684.66000000,7838.76000000,61.32148300,1578657599999,475273.93984129,599,29.97553000,232534.35628967,0
19,1578657600000,7846.91000000,8195.00000000,7821.03000000,8195.00000000,127.68154600,1578700799999,1024830.30999615,1193,57.52422400,461695.81852531,0
20,1578700800000,8195.00000000,8251.43000000,8023.07000000,8044.52000000,42.68252700,1578743999999,346922.25107617,728,26.40548500,214696.11707510,0
21,1578744000000,8037.68000000,8290.00000000,8010.01000000,8026.42000000,37.01179000,1578787199999,300439.63032252,566,18.87416900,153255.15060830,0
22,1578787200000,8010.01000000,8165.13000000,7968.79000000,8118.42000000,18.68428800,1578830399999,150645.61988360,344,10.66121600,86033.91765493,0
23,1578830400000,8118.32000000,8192.05000000,8076.64000000,8185.42000000,28.01871800,1578873599999,227993.40360766,573,13.58371800,110519.75514585,0
24,1578873600000,8186.81000000,8186.81000000,8059.34000000,8074.21000000,28.24552700,1578916799999,229672.64012735,562,6.71977700,54632.07807830,0
25,1578916800000,8075.85000000,8162.52000000,8061.15000000,8102.27000000,42.78099700,1578959999999,347590.76290333,480,10.65373800,86359.11692638,0
26,1578960000000,8110.96000000,8577.67000000,8110.96000000,8526.47000000,155.10022000,1579003199999,1308852.59002461,1663,87.81176000,740929.61442704,0
27,1579003200000,8523.86000000,8891.18000000,8481.52000000,8847.12000000,196.42111600,1579046399999,1707222.38573448,2562,98.90652500,859818.93284908,0
28,1579046400000,8808.88000000,8904.36000000,8579.47000000,8723.58000000,77.97803600,1579089599999,680047.36368915,1331,46.02832300,400880.72243071,0
29,1579089600000,8723.36000000,8911.21000000,8687.90000000,8817.79000000,68.64625900,1579132799999,605198.56951691,1156,30.68515300,270422.92678456,0
30,1579132800000,8836.69000000,8857.99000000,8595.65000000,8720.15000000,63.56474400,1579175999999,551763.09879008,944,22.76634700,197641.14039348,0
31,1579176000000,8716.18000000,8776.00000000,8625.93000000,8730.00000000,31.63190900,1579219199999,275265.25253440,479,22.29597800,193969.54641856,0
32,1579219200000,8729.99000000,9022.50000000,8673.10000000,8901.92000000,47.34792200,1579262399999,420210.80995378,894,24.36149800,216238.62629365,0
33,1579262400000,8894.30000000,8962.76000000,8772.03000000,8915.59000000,29.97459000,1579305599999,265860.24636926,765,15.48452500,137490.37866944,0
34,1579305600000,8905.00000000,8988.76000000,8805.36000000,8860.23000000,28.13211300,1579348799999,250539.25186009,590,8.48624200,75552.89965766,0
35,1579348800000,8886.35000000,8961.40000000,8848.90000000,8917.29000000,22.97251400,1579391999999,204664.17974461,526,6.90115800,61507.19862203,0
36,1579392000000,8913.69000000,9200.00000000,8557.09000000,8683.66000000,119.77664900,1579435199999,1079410.92307326,1145,68.85980500,623170.88616024,0
37,1579435200000,8673.40000000,8760.02000000,8493.57000000,8718.51000000,97.66024800,1579478399999,845409.80196444,1389,78.05575800,675634.32555810,0
38,1579478400000,8725.94000000,8730.34000000,8603.35000000,8627.20000000,15.25263600,1579521599999,132249.46453183,199,6.40634400,55494.08068949,0
39,1579521600000,8614.65000000,8741.97000000,8530.00000000,8644.33000000,28.93387700,1579564799999,250096.57284348,558,12.80604100,110587.25920182,0
40,1579564800000,8650.15000000,8688.61000000,8614.04000000,8650.96000000,16.98051800,1579607999999,146773.56121328,305,9.01533000,77957.42429917,0
41,1579608000000,8643.68000000,8778.28000000,8503.31000000,8754.88000000,52.60757000,1579651199999,454826.29296521,783,27.98516000,242650.31782321,0
42,1579651200000,8737.02000000,8819.92000000,8638.19000000,8667.36000000,20.35581000,1579694399999,177216.38574330,384,9.86045800,85908.66585778,0
43,1579694400000,8657.03000000,8700.24000000,8605.64000000,8670.36000000,17.51536200,1579737599999,151794.72410956,344,9.73306400,84386.61641252,0
44,1579737600000,8671.00000000,8671.00000000,8410.00000000,8423.86000000,36.67222400,1579780799999,312589.35487693,2858,17.60938000,149996.10432138,0
45,1579780800000,8413.99000000,8480.39000000,8305.50000000,8414.87000000,27.88778900,1579823999999,233640.87266513,695,14.53989200,121840.47013090,0
46,1579824000000,8411.45000000,8416.09000000,8241.50000000,8410.77000000,33.17258000,1579867199999,276610.26444867,3392,20.69984100,172717.47132954,0
47,1579867200000,8418.75000000,8524.11000000,8377.93000000,8451.96000000,49.52348900,1579910399999,419573.13276484,3510,32.58785600,276063.84669328,0
48,1579910400000,8440.25000000,8442.68000000,8277.21000000,8322.18000000,53.70527000,1579953599999,447113.42866283,4568,39.45338600,328357.63765558,0
49,1579953600000,8328.73000000,8421.36000000,8296.69000000,8344.78000000,21.77674000,1579996799999,182034.22378578,3930,16.69041700,139516.48901930,0
50,1579996800000,8340.11000000,8480.44000000,8301.86000000,8475.43000000,26.69546900,1580039999999,224364.41068560,651,17.63551600,148055.24993061,0
51,1580040000000,8483.48000000,8612.12000000,8441.38000000,8612.12000000,30.75557600,1580083199999,262616.92475669,2083,14.82277500,126698.54634042,0
52,1580083200000,8613.88000000,8742.93000000,8584.04000000,8735.55000000,33.89781200,1580126399999,293690.38309188,1956,21.11281400,182861.67406633,0
53,1580126400000,8736.16000000,9002.45000000,8702.08000000,8914.11000000,70.10073400,1580169599999,619880.40209856,8820,44.63317700,394978.40362690,0
54,1580169600000,8921.17000000,9161.62000000,8918.79000000,9077.79000000,52.30751000,1580212799999,473704.49658636,3020,28.45372200,257515.18991995,0
55,1580212800000,9089.31000000,9402.37000000,8892.43000000,9380.14000000,91.49192700,1580255999999,835254.86028578,3863,55.69124700,508413.71127628,0
56,1580256000000,9376.62000000,9438.06000000,9239.08000000,9304.53000000,76.22287800,1580299199999,711834.14831761,6305,37.30553100,348445.42780076,0
57,1580299200000,9304.53000000,9445.67000000,9256.52000000,9300.85000000,64.13330800,1580342399999,597899.77273344,8593,55.18879000,514408.66267932,0
